Spacer,hg19 location
1, chr11:836293-836316
2, chr4:145041692-145041714
3, chr15:90348654-90348677
4, chr17:40440261-40440283
5, chrX:138644010-138644032
6, chrX:66765045-66765067
7, chrX:138643957-138643979
8, chr8:39871134-39871156
9, chr1:183218409-183218431
10,  chr7:50526196-50526218
11,  chr8:39845460-39845482
12,  chr1:208072333-208072356
13,  chr10:89506437-89506459
14,  chr7:55240709-55240731
15,  chr1:183220487-183220509
16,  chr1:208073317-208073340
17,  chr11:836360-836383
18,  chr22:42032717-42032740
19,  chr13:32900719-32900742
20,  chrX:66765028-66765050
21,  chr15:90348584-90348607
22,  chr2:216977771-216977794
23,  chrX:138644048-138644070
24,  chr13:108863525-108863547
25,  chr22:42032577-42032600
26,  chr2:216974068-216974091
27,  chr4:156826243-156826265
28,  chr1:198668757-198668780
29,  chr22:37461708-37461730
30,  chr10:6104130-6104152
31,  chr15:90358013-90358036
32,  chr17:37883173-37883195
33,  chr3:169482616-169482638
34,  chr17:37884086-37884108
35,  chr7:55259538-55259560
36,  chrX:133594274-133594296
37,  chrX:133594290-133594312
38,  chr1:65432129-65432151
39,  chr16:29708698-29708720
40,  chr19:17942176-17942198
41,  chr19:17945473-17945495
42,  chr13:32893320-32893343
43,  chr2:191878760-191878782
44,  chr12:72425547-72425569
45,  chr8:39840236-39840258
46,  chr12:72416242-72416264
47,  chr13:32889667-32889690
48,  chr13:32893350-32893373
49,  chr13:32889776-32889799
50,  chr15:90348325-90348348
51,  chr2:216974143-216974166
52,  chr11:836347-836370
53,  chr2:216981432-216981455
54,  chr1:65349086-65349108
55,  chr4:156825204-156825226
56,  chr1:208084481-208084504
57,  chr16:29708389-29708411
58,  chr1:198608241-198608264
59,  chr4:156825228-156825250
60,  chr1:198668733-198668756
61,  chr22:42017307-42017330
62,  chr13:32889654-32889677
63,  chr17:40441426-40441448
64,  chr22:37539598-37539620
65,  chr6:43737291-43737313
66,  chr19:17952223-17952245
67,  chrX:66765119-66765141
68,  chr1:198668793-198668816
69,  chr10:6104107-6104129
70,  chr1:198608161-198608184
71,  chr17:40481444-40481466
72,  chr17:40466486-40466508
73,  chr7:50605568-50605590
74,  chr22:42017321-42017344
75,  chr17:40466373-40466395
76,  chr1:65311293-65311315
77,  chr15:40987440-40987463
78,  chr7:50633109-50633131
79,  chr17:37863274-37863296
80,  chr2:191835123-191835145
81,  chr2:191878928-191878950
82,  chr15:40987403-40987426
83,  chr7:55220290-55220312
84,  chr17:40458414-40458436
85,  chr22:37532281-37532303
86,  chr1:208084623-208084646
87,  chr2:73160981-73161003
88,  chr2:73160982-73161004
89,  chr1:65312386-65312408
90,  chr2:216977802-216977825
91,  chr19:17953906-17953928
92,  chr22:37523901-37523923
93,  chr1:55529322-55529344
94,  chr22:42032568-42032591
95,  chr15:40987560-40987583
96,  chrX:133594214-133594236
